Age,Category,,Description,Option,Requirement,Energy,Money,Health,IQ,Karma
0-6,Childhood,,Oh look! Your family has presented you with few items,,,,,,,
0-6,Childhood,,Oh look! Your family has presented you with few items,,,,,,,
0-6,Childhood,,Oh look! Your family has presented you with few items,,,,,,,
0-6,Childhood,,Oh look! Your family has presented you with few items,,,,,,,
7-12,Primary School,,Today is the CCA Fair,,,,,,,
7-12,Primary School,,Today is the CCA Fair,,,,,,,
7-12,Primary School,,Today is the CCA Fair,,,,,,,
7-12,Primary School,,Today is the CCA Fair,,,,,,,
7-12,Primary School,,Today is the CCA Fair,,,,,,,
7-12,Primary School,,Today is the CCA Fair,,,,,,,
7-12,Primary School,,Today is your friend's ASHOK BALAJIBAI birthday and you are going to his birthday party. Will you get a present along the way?,Yes,,-15,-20,0,0,0
7-12,Primary School,,Today is your friend's ASHOK BALAJIBAI birthday and you are going to his birthday party. Will you get a present along the way?,No,,-15,0,0,0,0
7-12,Primary School,,Tempted to purchase a $400 carbon fiber mouse,,,,,,,
7-12,Primary School,,Tempted to purchase a $400 carbon fiber mouse,,,,,,,
7-12,Primary School,,Your besties Tiger,,,,,,,
7-12,Primary School,,Your besties Tiger,,,,,,,
7-12,Primary School,,Saw your friend,,,,,,,
7-12,Primary School,,Saw your friend,,,,,,,
7-12,Primary School,Compulsory,PSLE EXAM :  Jim bought some chocolates and gave half of them to Ken. Ken bought some sweets and gave half of them to Jim. Jim ate 12 sweets and Ken ate 18 chocolates. The ratio of Jim's sweets to chocolates becomes 1:7 and the ratio of Ken's sweets to chocolates becomes 1:4. How many sweets did Ken buy?,68,,-5,0,0,30,0
7-12,Primary School,Compulsory,PSLE EXAM :  Jim bought some chocolates and gave half of them to Ken. Ken bought some sweets and gave half of them to Jim. Jim ate 12 sweets and Ken ate 18 chocolates. The ratio of Jim's sweets to chocolates becomes 1:7 and the ratio of Ken's sweets to chocolates becomes 1:4. How many sweets did Ken buy?,44,,-5,0,0,-10,0
7-12,Primary School,Compulsory,PSLE EXAM :  Jim bought some chocolates and gave half of them to Ken. Ken bought some sweets and gave half of them to Jim. Jim ate 12 sweets and Ken ate 18 chocolates. The ratio of Jim's sweets to chocolates becomes 1:7 and the ratio of Ken's sweets to chocolates becomes 1:4. How many sweets did Ken buy?,58,,-5,0,0,-10,0
7-12,Primary School,Compulsory,Congrats on passing your PSLE. Choose your secondary school.,Admiralty Secondary School,IQ,,,,,
7-12,Primary School,Compulsory,Congrats on passing your PSLE. Choose your secondary school.,River Valley Secondary School,IQ,,,,,
7-12,Primary School,Compulsory,Congrats on passing your PSLE. Choose your secondary school.,Holy Innocent Secondary School,IQ,,,,,
7-12,Primary School,Compulsory,Congrats on passing your PSLE. Choose your secondary school.,Manjusri Secondary School,IQ,,,,,
13-16,Secondary School,,Today is the CCA Fair,,,,,,,
13-16,Secondary School,,Today is the CCA Fair,,,,,,,
13-16,Secondary School,,Today is the CCA Fair,,,,,,,
13-16,Secondary School,,Today is the CCA Fair,,,,,,,
13-16,Secondary School,,Today is the CCA Fair,,,,,,,
13-16,Secondary School,,Today is the CCA Fair,,,,,,,
13-16,Secondary School,,You got a trash score in your recent Physics test and your form teacher has arranged a remedial class. Will you go?,Yes,,0,0,0,5,0
